X_POS,Y_POS,Z_POS,width,length,angle,I1_x,I1_y,I1_z,I2_x,I2_y,I2_z,I3_x,I3_y,I3_z,I4_x,I4_y,I4_z,
34.57279738,-0.561699725,70.27964601,2.123870107,12.50772838,90.90471486,-5.733554744,-0.040419444,-0.020479099,-5.871893472,-0.07090702,0.603684534,0,0,0,0,0,0,
34.57275501,-0.568881678,72.66840525,2.137539598,12.50972351,90.90288756,-5.604495382,-0.09922075,-0.173049607,-5.819749466,-0.040441851,3.038940594,0,0,0,0,0,0,
34.50226814,0.000875951,73.16601675,1.582221481,12.5059904,90.04896168,-5.67628048,-0.108905487,-0.167458573,-5.79626655,0.082929106,3.130869219,0,0,0,0,0,0,
34.56474089,2.301558934,70.26186208,2.133797646,18.7130894,90.21251938,-5.771230383,-0.410039677,0.129696477,-5.791388207,3.200211072,-0.216132131,0,0,0,0,0,0,
34.55635903,2.235246886,72.65369612,2.163792133,18.60981502,90.38248168,-5.639731545,-0.215330954,-0.050632738,-5.511249996,1.991023867,2.078573338,0,0,0,0,0,0,
34.45245202,2.192200777,75.24667229,1.567417118,18.68186386,90.655012,-5.71307792,-0.315346005,0.042880973,-5.639038306,2.633674107,1.389024399,0,0,0,0,0,0,
34.53542262,1.3705778,73.92147214,2.051058742,12.74741761,89.5268158,-5.774214554,-0.590078351,0.116366251,-5.760266629,3.392284392,-0.235884517,0,0,0,0,0,0,
34.40529435,1.04668106,81.03005589,1.572595092,12.50611957,90.35410652,-5.625043919,-0.298033495,-0.092953096,-5.650940991,1.290045319,2.634206511,0,0,0,0,0,0,
34.53601664,0.603029467,72.64789906,1.575854274,12.52469046,91.05925023,-5.740638092,-0.472997824,-0.059372515,-5.814333698,2.209581691,2.247355238,0,0,0,0,0,0,
23.36229829,0.197873775,45.87831991,17.88690564,24.04318926,92.07608137,-4.247642236,-0.113855293,1.875978817,-49.52143169,-0.03336512,17.27596591,0,0,0,0,0,0,
34.58205468,-0.560836291,73.17502943,2.120490047,12.49377196,90.9444653,-5.916090366,0.038560759,3.423183875,-5.879395555,-0.089981642,0.513067658,0,0,0,0,0,0,
34.7181607,-0.492802838,75.55715687,2.254321786,12.49923678,90.64075226,-5.84650354,-0.040861986,3.18127445,-5.921784667,-0.045285038,0.380989807,0,0,0,0,0,0,
34.52632703,1.935508718,67.23396673,2.128515455,18.76400152,92.00531992,-5.741145547,3.077159861,0.231861531,-5.952969319,-0.416608115,0.529468879,0,0,0,0,0,0,
34.50295936,4.97965808,72.47951165,2.139308003,12.51332371,91.94278616,-5.810402867,2.232863492,2.422168965,-5.674284724,2.096732145,2.094041107,0,0,0,0,0,0,
34.48429932,3.196020668,72.47551011,1.53648856,18.57772193,92.32048796,-5.777114305,2.27697587,2.376689126,-5.795683658,2.344178252,2.23190686,0,0,0,0,0,0,
34.6449305,2.487454127,73.10082564,2.214952496,18.72985204,91.50169974,-5.817531972,2.818772402,1.559007483,-5.91168967,-0.354383732,0.51679545,0,0,0,0,0,0,
34.4916939,4.704770237,83.88672587,2.214058426,12.51069182,90.80087167,-5.80975024,2.815213559,1.578312784,-5.835350254,1.468976384,2.652249296,0,0,0,0,0,0,
34.51296687,0.832397401,63.50200115,2.125566217,12.71961521,92.10542935,-5.779483544,3.273433447,0.303630026,-5.966546409,-0.562879716,0.53889876,0,0,0,0,0,0,
34.60239997,-0.281224801,71.96383935,2.12212846,12.48245681,92.98724397,-5.901914659,1.567425512,3.080006261,-5.89148615,-0.199647304,0.530404453,0,0,0,0,0,0,
34.48688469,3.191025869,72.48113891,1.728775052,18.69308013,91.53820101,-5.907233627,1.427788741,3.118003076,-5.735374882,2.707788364,1.363630729,0,0,0,0,0,0,
34.66514435,0.356195726,71.96991777,2.127219888,12.56465532,91.65769774,-5.796388755,2.257819167,2.310962958,-5.904643465,-0.331126891,0.441922219,0,0,0,0,0,0,
34.64320104,3.21333245,74.35788899,2.116598633,18.56208934,91.58724812,-5.767535063,2.190519837,2.379042941,-5.641581684,2.040949221,2.16689685,0,0,0,0,0,0,
34.62182615,1.590805684,74.35201886,1.930554124,12.51542892,91.95240372,-5.792149131,2.207468539,2.328021241,-5.823979658,2.298514047,2.267462062,0,0,0,0,0,0,
24.52763462,-0.474771612,60.27178614,14.52072379,24.48749175,93.40309379,-9.252487539,-0.025348816,0.467254942,-47.05901329,0.144257695,16.06693844,0,0,0,0,0,0,
23.87902312,-0.001831321,62.23112979,14.57192084,24.50272992,91.22616948,-8.98811931,-0.01001492,0.17615708,-39.73469879,0.195715118,16.51069528,0,0,0,0,0,0,
23.84726004,0.163944621,67.91082958,14.59364364,24.50242175,91.02659488,-8.516249801,0.077301983,0.028518018,-34.94830501,0.092970914,15.99548389,0,0,0,0,0,0,
24.24224777,4.945389378,57.07402597,14.52973558,31.26035874,99.83121505,-9.100098843,-3.539794722,1.260329468,-45.91235781,21.08514539,8.626449674,0,0,0,0,0,0,
24.18876346,3.741713717,64.00219457,14.54579067,30.72715558,105.771011,-8.885118861,-2.070492379,0.439371301,-39.13110487,12.0681876,13.53812953,0,0,0,0,0,0,
24.15041802,3.421095156,69.50691722,14.6089263,30.41676554,106.3569076,-8.596886959,-1.135497254,0.088285217,-34.85033569,7.557490436,14.63161974,0,0,0,0,0,0,
24.24708818,6.999038822,58.07787586,14.45594311,36.98818983,104.753557,-9.059422897,-3.568839453,1.443103898,-43.45590226,24.21636864,1.171833699,0,0,0,0,0,0,
23.7120313,7.172800291,61.26857366,14.53591632,36.49488263,108.0433094,-8.882470465,-2.529299362,0.637830827,-37.7026045,16.79426106,7.974387253,0,0,0,0,0,0,
23.63790181,6.163640451,67.86675031,14.58001708,36.12108938,110.3556474,-8.634187135,-1.356376148,0.14736255,-33.27930459,11.62249973,10.60705609,0,0,0,0,0,0,
24.62575855,-0.465601917,63.53173723,14.63799426,24.50801048,93.38877393,-9.37714508,0.052635019,6.689778934,-47.94054452,0.045428513,15.68838203,0,0,0,0,0,0,
24.63563071,-0.46345294,65.74929361,14.69828746,24.49605426,93.48929495,-10.46612127,-0.032669928,7.87397202,-48.07697436,-0.022150309,15.86451813,0,0,0,0,0,0,
24.47104051,2.71049109,60.31852347,14.72198199,30.56498801,73.93614381,-9.194348882,5.28113509,0.53946159,-47.23083376,-0.713943329,15.96843926,0,0,0,0,0,0,
24.70268491,2.410049946,64.50420709,14.80853174,30.5446571,75.31461182,-9.620457534,4.53636173,4.666525883,-47.68875231,-0.410602981,15.75697737,0,0,0,0,0,0,
24.71898046,2.329725498,66.80510861,14.84488009,30.4209192,75.62658504,-10.58948331,3.273651327,6.898924424,-48.333762,-0.124409826,15.85035918,0,0,0,0,0,0,
24.08520179,3.942528598,57.78868879,14.43823099,30.52728431,71.94426302,-9.240259942,4.908478942,0.6025961,-47.72004251,-0.242991645,16.02276463,0,0,0,0,0,0,
